Type-Well- Description,KRT14 (15),KRT8 (30),CD1a (34),GAPDH (35),CCL 21 (48),CD3 E (57),CXCL 12 (67)
1,52,74,61,45,51,58,139
2,60,79,68,55,61,74,135
3,34,1071,58,6287,40,103,193
4,32,1150,64,6112,35,99,247
5,480,270,543,6021,3979,2651,1165
6,633,317,659,7500,4886,3273,1459
7,229,87,173,139,113,354,516
8,253,99,183,162,107,374,530
9,306,100,430,287,184,805,891
10,341,119,532,332,207,951,1028
11,386,119,314,266,164,838,740
12,396,119,332,274,158,883,800
13,471,109,305,298,221,814,938
14,474,111,314,318,219,848,988
15,781,87,90,255,192,565,634
16,894,103,100,273,227,631,776
17,785,106,185,522,219,1143,1009
18,1014,132,239,647,278,1519,1278
19,506,142,118,318,84,777,960
20,502,145,136,325,108,763,976
21,306,145,174,362,387,868,1538
22,284,154,168,381,377,864,1584
23,87,157,129,121,58,186,574
24,79,190,149,133,56,190,646
25,223,144,283,215,109,613,823
26,2116,97,415,245,186,1116,750
27,1104,191,1558,837,248,2793,1833
28,1005,183,1415,858,238,2631,1720
29,276,118,425,172,89,614,644
30,287,114,398,182,84,582,614
31,2311,173,893,1146,174,2385,1084
32,2100,178,810,1123,158,2248,1056
33,720,121,590,664,299,1112,1106
34,749,120,532,638,290,1111,1149
35,282,160,241,264,150,599,653
36,267,166,275,277,152,615,727
37,343,119,162,98,75,192,519
38,360,207,205,103,79,204,804
39,1093,188,426,411,151,1160,1054
40,1092,216,450,397,142,1160,1138
41,48,158,132,39,62,54,495
42,3837,213,728,598,289,1700,1320
43,43,196,108,108,2356,90,1219
44,46,228,113,118,2256,86,1254
45,832,183,490,314,141,630,923
46,785,163,468,316,137,635,870
47,46,208,105,128,62,54,955
48,47,226,121,136,61,50,987
49,1392,218,1234,1975,564,2537,2519
50,1685,229,1470,2170,630,3009,3108
51,3524,271,1640,1448,390,2852,3042
52,3694,264,1658,1476,419,3078,3210
53,1366,175,188,221,167,383,1101
54,1334,156,167,210,146,358,978
55,1436,223,346,406,447,465,1384
56,1475,205,323,404,478,463,1380
57,3779,273,169,565,739,472,3373
58,3899,296,193,579,725,476,3705
59,1428,209,384,301,270,808,1060
60,1486,189,375,312,277,778,1008
61,1042,252,191,183,109,187,1127
62,988,196,182,172,113,169,958
63,515,248,280,342,136,469,1521
64,505,236,284,348,158,475,1562
65,76,94,83,107,63,83,450
66,70,84,77,95,60,74,460
67,1213,165,507,738,230,1423,1117
68,1238,151,532,783,232,1498,1070
69,216,240,107,269,1700,151,1943
70,235,235,107,280,1772,160,1958
71,134,158,97,128,1285,84,1870
72,150,148,91,128,1238,79,1685
73,4687,2615,25127,26898,1441,27620,9727
74,5852,3387,26424,28019,1793,28832,12783
75,5259,719,4479,7662,402,10948,4976
76,5401,850,4714,8189,425,11810,5286
77,2189,2116,24451,27925,790,26872,8118
78,2193,2296,24512,28168,835,27200,8003
79,24082,4105,711,24881,2866,16411,16641
80,24912,5063,856,26724,3387,18853,19951
81,123,61,60,45,53,54,211
82,96,50,48,33,46,46,145
83,77,89,77,46,54,58,286
84,67,68,63,40,50,51,208
85,1254,99,160,89,83,183,595
86,1102,77,149,86,75,164,532
87,143,146,84,362,51,48,565
88,142,130,71,319,51,55,461
89,512,103,70,148,4040,159,1117
90,496,88,78,153,4027,162,1039
91,505,125,86,120,336,66,1298
92,512,111,90,127,338,82,1138
93,129,108,121,53,66,82,322
94,131,98,120,49,71,86,311
95,1373,119,254,269,99,731,548
